id,title,year,artist,party
2111863,Sleigh Ride - live,,The Brian Setzer Orchestra,none
1692002,Sleigh Ride,,Diamond Rio,birthday
8690003,Sleigh Ride (Radio Instrumental Mix),1993,TLC,instrumental
5088910,Sleigh Ride,2019,John Barrowman,none
1009957,Sleigh Ride,2011,Carole King,none
8221063,Sleigh Ride,,Ying Yang Twins,none
2057689,Sleigh ride,,Take 6,instrumental
5507776,Let It Snow / Sleigh Ride Medley,,Larnelle,none
1527760,Sleigh Ride,1989,Wynton Marsalis,none
6933821,Sleigh Ride,2020,Maddie Poppe,none
7507987,I Like a Sleighride (Jingle Bells),2019,Ernie Haase & Signature Sound,irrelevant
2395366,Sleigh Ride,2015,Gared A.,none
11057370,Sleigh Ride,2024,Kelly Clarkson,none
6137591,Underneath the Tree (Cutmore Christmas Sleigh Ride Extended Mix),2013,Kelly Clarkson,irrelevant
8919658,Sleighride,,Black Widow,irrelevant
2122076,Sleigh Ride,,Ray Conniff,instrumental
9673697,Sleigh Ride,2023,Jessie James Decker,none
8690001,Sleigh Ride (Colin’s Radio Edit),1993,TLC,none
784220,Sleigh Ride,1972,Al Hirt,none
2233218,Sleigh Ride in July,1959,Lena Horne,irrelevant
5688106,Sleigh Ride - Live,2019,Keith & Kristyn Getty,instrumental
4572143,Sleigh Ride,2018,Runaway June,none
1684111,Sleigh Ride,,Bert Kaempfert,none
7357511,Sleigh Ride,2021,Gary Barlow,birthday
7350632,Sleigh Ride,2020,Daniel Blair,none
5852090,Sleigh Ride,1999,Natalie Cole,none
5104012,A Sleigh Ride in Jamaica,2019,Crackers With Attitude,irrelevant
2241169,Sleigh Ride,,Duke Ellington and His Orchestra,birthday
9732310,Sleigh Ride,2023,Smash Mouth,none
7820335,Sleigh Ride Medley (Live),2015,Keith & Kristyn Getty,instrumental
2387256,Sleigh Ride,2015,Tiara Thomas,none
5136751,Sleigh Ride,2008,The Archies,none
8652031,Sleigh Ride,,"Phillips, Craig & Dean",none
8569005,Lovely Sleigh Ride,2000,The Bran Flakes,instrumental
8490423,Sleigh Ride,2020,First to Eleven,none
6063300,Sleigh Ride (2020),,Runaway June,none
3915869,Sleigh Ride,2017,Jule Vera,none
7245728,Sleigh Ride,2021,Pistol Annies,none
10366599,Love is a sleigh ride to hell,2024,Cozma,irrelevant
6227748,Sleigh Ride,,Kingswood,none
8738129,Sleigh Ride To A Barn Dance In Sorrento,2014,Raymond Scott,instrumental
7124852,Sleigh Ride,1990,The Roches,none
6041185,Sleigh Ride,2020,Francesca Battistelli,none
8656583,Sleigh ride,,The arjays tribute,new years
8044203,Sleigh Ride,,Herb Geller,instrumental
7512737,Sleigh Ride,,Benny Benack III & Steven Feifke,instrumental
7475870,Sleigh Ride,2008,Howard Hewett,none
7224824,Sleigh Ride,2020,The Apex Singers,none
10478008,Siberian Sleigh Ride (Narration),,Trans-Siberian Orchestra,irrelevant
9928655,Sleigh Ride,2024,The Loonatics,birthday
8495776,Sleigh Ride,2022,Megan Nicole,none
7635134,Sleigh Ride,2007,Carnie Wilson,none
6338652,Sleigh Ride,,Jesus & His Judgemental Father,none
5017492,Sleigh Ride,,Jess Moskaluke,birthday
5009186,Sleigh Ride,2019,Zach Gill,none
4884698,Sleigh Ride,1992,Mel Tormé,instrumental
11063518,Sleigh Ride,2024,Mrs. Claus and the Elves,none
8585308,Sleigh Ride,2022,Cliff Richard,none
4141780,Sleigh Ride,1968,Herb Alpert & The Tijuana Brass,instrumental
3603650,Midnight Sleighride (From ”The Lieutenant Kije Suite”),1952,The Sauter-Finegan Orchestra,instrumental
2838805,Sleigh Ride,,Mack Z,none
9794421,Rockin’ Around the Christmas Tree / Sleigh Ride,2023,Kate Rusby,irrelevant
8744308,Sleigh Ride,2020,JW Francis,birthday
8578389,Sleigh Ride,1967,Jim Nabors,none
7732322,Sleigh Ride,,Truth (CCM),none
6037716,Sleigh Ride,,8-Bit Arcade,instrumental
2223513,Sleigh Ride,2004,Barenaked Ladies,irrelevant
9967317,African Sleigh Ride,2007,Vince Guaraldi,instrumental
9736177,Sleigh Ride,,Kaskade,instrumental
9074217,Sleigh Ride,2009,Pat Coil,instrumental
8845172,Sleigh Ride,,Barney,none
8051951,Sleigh Ride,2019,TheRealSullyG,instrumental
7732539,Sleigh Ride,,Søren Bebe,instrumental
751468,Sleigh Ride,,James Brown,none
7124214,Sleigh Ride,,Liberace,instrumental
7079874,Winter Wonderland / Sleigh Ride,1969,Living Guitars,instrumental
6806169,SLEIGH RIDE,2020,Frostbyt3,irrelevant
6471222,Sleigh Ride,1995,Suggs,none
6296162,So Nice Together To Sleigh Ride Together,2011,Von Busenstein,none
6001847,Sleigh Ride,,Mighty Sparrow,instrumental
5703506,Sleigh Ride,,Kathy Troccoli,none
5683764,Sleigh Ride,2017,Rook1e,instrumental
5247212,Sleigh Ride,2019,Ana Gasteyer,none
5105112,Sleigh Ride,2007,Jon Secada,none
4802614,Sleigh Ride,,Suzy Bogguss,none
4767226,Sleigh Ride,,The Three Suns,instrumental
3934505,Sleigh Ride,,Ron Kenoly,none
3905600,Nantucket Sleighride,2012,Al Bairre,irrelevant
11256487,Sleigh Ride,2013,Alan Williams (Composer),instrumental
11188137,Sleigh Ride,,Emile Pandolfi,instrumental
11181884,Sleigh Ride,,Lenny Dee (Organist),instrumental
11155105,Sleigh Ride,,Pole Joe,instrumental
10067306,Sleigh Ride,,André Rieu,instrumental
9873098,Sleigh Ride,2023,ONI INC.,birthday
919093,Sleigh Ride,,Jo Dee Messina,birthday
872373,Sleigh Ride,,The Muppets,christmas
8649814,Sleigh Ride,1988,The A-Strings,instrumental
7589613,Sleigh Ride,,Carly Pearce,none
7516490,Sleigh Ride,2016,Jazz Alchemy,instrumental
6370204,Sleighride,,Kavv,instrumental
5854474,Sleigh Ride to Asgard,2017,Coronatus,irrelevant
5765007,Sleigh Ride,2014,Derek & Brandon Fiechter,instrumental
5301930,Sleigh Ride,,Murray Gold,instrumental
5276764,Sleigh Ride,2019,Young Liu,irrelevant
5145926,Sleigh Ride,,Das Wanderlust,irrelevant
5141526,Magical Sleigh Ride,2019,Davion Jones,irrelevant
4164407,Sleigh Ride,2018,Olivia King,irrelevant
3118210,Sleigh Ride,1949,Leroy Anderson,instrumental
3115787,Narcissistic Sleighride,,Deranged,irrelevant
2394446,Sleigh Ride,,George Melachrino and His Orchestra,instrumental
2240371,Sleigh Ride,,Squirrel Nut Zippers,instrumental
2195701,Sleigh Ride,,Royal Philharmonic Orchestra,instrumental
1952495,Sleigh ride,,Tom Grant,none
1815078,Sleigh Ride (The Latin Project remix),,Ella Fitzgerald,none
1759293,Sleigh Ride,,SHeDAISY,christmas
1721259,Sleigh Ride,,Laura Fygi,none
1716177,Sleigh Ride,,Ramsey Lewis,none
